2D_X,2D_Y,3D_X,3D_Y,3D_Z
283,375,47.42817591416193,-99.11346816619152,-15.251282762251007
224,335,77.45149731416855,-33.449607849121094,1.9084808596761909
288,386,45.49600509583644,-100.01465827297477,-19.34637274533924
390,529,7.453950038638487,-117.9123969428257,-70.70270282948516
338,530,26.59898411584065,-107.19171516707127,-72.14899877710461
350,498,22.08389415782713,-110.47051292764354,-60.15407644179777
368,530,15.436765458216012,-114.3714523797371,-71.42100502767778
388,371,8.202664583733153,-114.30313560629656,-13.904718522157072
299,602,42.38335240050928,-86.14128993329825,-101.74469145755265
319,619,34.60449618961128,-88.81149290650342,-107.79224466504594
364,652,17.441661461849662,-92.13089446965148,-119.69846972918906
263,564,57.34635737516762,-73.23313879915725,-88.86591530246079
341,380,25.39523767774018,-109.70986099921834,-17.146345213840476
363,431,17.241783930953517,-114.51299394376599,-35.60479113770946
395,655,5.742991121282174,-93.41133938525127,-120.5887968041439
343,647,25.460038455551047,-89.70166985973208,-118.25668557386989
230,487,76.09591780326404,-23.715612104640286,-62.34199643644892
362,571,17.851535766056372,-105.14349045135475,-87.45141862389124
359,575,19.061105763134034,-101.4658664766124,-89.41229927239033
357,582,19.793585468858318,-101.76536623810398,-91.96616866161635
356,589,20.16795238893933,-101.63985757337366,-94.57768456797638
352,599,21.689029393001178,-100.48431079798263,-98.4564754643643
339,563,26.242363686652784,-106.95373132183317,-84.28092326502042
334,561,28.510508076287877,-97.52573448550265,-84.70674971637791
329,558,30.414679663669872,-96.78184056807004,-83.67627355170421
314,547,36.112159491697795,-95.32002355495422,-79.72790793008136
257,500,58.32722155600762,-86.89596867957675,-62.780478920451394
363,411,17.3613762469583,-109.87483695681499,-28.45774565973376
356,372,19.972930861279348,-108.00010146079512,-14.211594248152117
347,374,23.212842975250812,-109.5068451693785,-14.954966718297594
343,561,24.830764673487735,-105.54362115537208,-83.72055940539802
260,537,58.13456376679255,-77.1588109040789,-77.90786675924035
368,373,15.632228093693577,-105.60633647063025,-14.558584068347535
346,611,24.021529642197986,-97.7197858559515,-103.34977021176294
387,441,8.449687253548758,-126.97048009637757,-38.73064542034627
373,424,13.584825475616869,-116.67123338079648,-33.01393725568634
387,421,8.464256412469844,-125.36229875126844,-31.712478404181052
352,458,21.231634719434556,-114.15825354488481,-45.38710533891049
395,642,5.728348356713672,-97.61373531376717,-114.94227145634473
394,624,6.084899468535163,-101.64614581360615,-107.54784378387578
370,623,14.99107430817445,-101.08474219207551,-107.27055037844039
310,578,38.04745503345987,-88.38025079252611,-92.28901982277134
323,498,32.00394007268344,-108.98261947338153,-60.27176217110215
327,596,31.35686068841066,-92.96445287447102,-98.45058968308709
288,492,45.03550126478989,-105.9147547957648,-58.30865525116404
310,513,37.10430489505814,-103.4179784438403,-66.25240291853225
277,516,50.16930651419432,-93.19937848868028,-68.29692897407269
365,639,16.95315852716138,-96.69289646648792,-113.98535197535257
343,465,24.521554241144838,-113.32798584512352,-47.96685746557315
301,588,41.680249330936356,-85.2758117689491,-96.52773695682451
321,606,33.76326373895126,-90.30351916038421,-102.62784328330889
296,558,43.302157937370346,-89.2515142031757,-84.58675140511446
245,514,64.54648419909694,-71.63252588473051,-69.4902659318433
279,558,50.22173209104318,-83.64789275236296,-85.26427492569445
240,522,70.76147846542723,-33.449607849121094,-76.28111443498372
299,532,41.81797376134915,-94.17399671287296,-74.22055562729562
353,441,20.895012365548634,-113.38703684272923,-39.26547378117686
353,495,21.011103835465768,-109.8426073314647,-59.10907200142518
344,497,24.333695245324773,-108.8538977276387,-59.916364820956375
359,486,18.740932505900542,-112.67172381584328,-55.6249531629606
343,354,24.690749973485964,-109.06848763054734,-7.643176710387026
318,343,33.89076045477479,-107.94356614806463,-3.590923187973557
296,341,41.98887330675427,-107.37198237168843,-2.8411700036678678
279,344,48.45437166486518,-104.60752448188862,-3.8629814137584013
268,352,52.90850306052316,-100.2567838805893,-6.712746581022079
261,380,56.26637316145578,-92.44307911251053,-17.092197512460828
222,415,81.65511956584251,-6.3030534422847495,-32.118606540365796
273,406,50.94772153795188,-101.41981910859465,-26.76008998145923
289,413,44.67056455769069,-105.87997699203447,-29.26682194024974
310,413,36.85005139205573,-107.4718345340508,-29.23520606802306
328,409,30.24892568522559,-107.53906750887336,-27.767890992883174
342,404,25.140965083017935,-106.97080405779957,-25.9431384802998
351,400,21.85038038442034,-106.63596170452524,-24.47919151079701
226,407,79.60818644484418,-8.766896200541055,-28.583622255399437
344,500,24.292325141826034,-109.91398707910275,-60.92777497897923
362,449,17.565453029871655,-115.9466787511343,-42.049778554842256
363,499,17.17137740900464,-117.24357490927764,-59.9780895710806
372,506,13.909790763308427,-118.47344004858962,-62.392080861216655
364,500,16.77903459360927,-118.54345057637124,-60.23319559526875
349,505,22.49829161302275,-109.06521319269143,-62.82324920889475
375,508,12.824197419306957,-118.98820866972892,-63.06552771368144
377,510,12.09086573929711,-120.00511107134423,-63.69362399881946
350,385,22.191806951189243,-107.37347287529326,-18.972070123385816
358,391,19.309176298251003,-105.65655906154768,-21.179509265050626
362,396,17.812620450015032,-106.61302857360113,-23.01087812275055
278,377,49.429198354648406,-97.4763079396539,-15.98745911079913
270,367,52.50174318688245,-96.54373777315402,-12.241011637039623
401,443,3.513654778695134,-134.60229679663854,-39.125424114511205
502,383,-33.487160515040884,-108.01786226270985,-18.23952303466086
404,507,2.4821002366902962,-138.67441304207227,-61.0264507812827
559,303,-56.37905986968301,-89.7810053256469,12.089150219882892
454,398,-16.00043495027139,-105.6523922627972,-23.75419618576167
470,400,-21.910413104074284,-105.13943802333802,-24.495356350415733
486,399,-27.808947070142704,-105.00830520477473,-24.128514223365684
508,387,-36.10111021133446,-102.47750889435827,-19.71382051357021
442,394,-11.490225723821121,-108.9491611330352,-22.261131600455396
479,352,-25.076979249150313,-107.80846222379432,-6.883780777877334
462,354,-18.859063373475724,-107.59306306180702,-7.611816933894186
495,354,-30.925666554154283,-107.99316569597556,-7.620321014311145
505,361,-34.573531477288256,-108.18340184540966,-10.1866858660658
521,397,-41.12588840158265,-99.93381932051705,-23.436200736657085
450,625,-14.908686038259262,-94.76123093949548,-109.07234959183813
508,378,-35.68228861327921,-108.04230435091802,-16.40882735327166
567,378,-60.545750105377664,-80.02207479452682,-16.281904112107224
538,382,-47.86572759052286,-95.57351160528674,-17.851681302024502
471,473,-22.01278325123958,-110.5114340493102,-51.04025059852713
412,553,-0.4612179490181467,-116.55923432408042,-79.48398042891257
410,568,0.25033441285117686,-115.28704045916311,-85.04979957421278
433,554,-8.060081975489318,-115.06011511413124,-80.02126635121903
447,556,-13.256948098699247,-110.80665860205625,-81.25212304198885
426,566,-5.550235195810547,-114.01539426424699,-84.48845030160386
438,564,-9.945072464414205,-112.0873782032611,-84.0056612277655
468,573,-21.765321356717727,-92.66270975950079,-89.82723902114148
400,503,3.8612899780163774,-139.23593706007392,-59.60089043143603
402,486,3.176109176139925,-141.84144898832926,-53.5616906485333
528,339,-43.14296897154706,-106.49751684261105,-2.0802197800944846
438,431,-9.58779703164846,-125.57897796395065,-35.24620037334657
439,490,-9.544326134061158,-140.20077841299553,-55.05267520548672
441,480,-10.255565673151255,-139.36877214080505,-51.670709214277124
518,466,-39.37741310584551,-107.6327041619877,-48.65278445648442
401,463,3.51615772742602,-138.19396198619165,-45.881646625786516
493,322,-29.83478386250636,-113.52515395987155,3.856445960743443
513,327,-37.329192990815855,-110.37657267104669,2.170994079231189
544,276,-49.99648094572361,-96.75185814724477,21.791569388224392
424,340,-4.725931674547228,-120.01478222504659,-2.8666248061594466
447,361,-13.34175799253481,-108.21729789560527,-10.187240968414295
480,557,-26.062868974728772,-96.69490572972325,-83.3127326954944
550,528,-53.944720024106786,-80.44897753963357,-74.08984785570547
428,499,-5.744080449653616,-141.18345204744514,-58.06786902381091
415,506,-1.2944534257615432,-140.2259184970402,-60.55028652418531
464,559,-19.794182381398354,-103.0593452596994,-83.28688880858134
457,559,-17.083423336386726,-106.16698828761321,-82.90898378458475
522,314,-40.673436875758426,-109.62866976489147,6.946466547889322
440,496,-9.919651501579427,-139.0674499086751,-57.20313932803552
464,324,-19.172588745269252,-116.99638303603706,2.985448526926387
466,310,-19.810734342370115,-118.77190433899614,7.931929165616957
480,243,-25.084597027994057,-114.24233515590572,32.40927268830751
533,296,-45.05020499648507,-105.7300524312019,13.757605762477105
471,277,-21.67226423132889,-117.39362816070263,19.871193884407738
537,329,-46.482833871902436,-106.13219622113081,1.6061173358856777
548,318,-51.215834910996485,-99.43463063538468,5.958726972846701
411,562,-0.10315137125318863,-116.27975155058903,-82.7604321805433
429,562,-6.611687685117609,-115.22733941574779,-82.89061099521263
443,560,-11.778336745550076,-111.53215544072089,-82.62026472079182
425,503,-4.724895932879052,-140.61162572471852,-59.48728617133886
460,559,-18.145351991932113,-107.13379397787696,-82.79141534950472
453,565,-15.609776280645976,-106.27102691863513,-85.10060381570219
455,559,-16.304831162944012,-107.30687782859286,-82.77036748262597
419,497,-2.648059629090184,-141.83148050287156,-57.330966574642304
435,563,-8.82573299709653,-113.29125888666931,-83.4925821267824
423,566,-4.450265889713175,-114.89035962826938,-84.37778190972045
409,569,0.6196425162853698,-116.59646128812994,-85.24253791932529
416,608,-2.035474165451226,-104.59332716079962,-101.15918908265786
415,597,-1.626864464021467,-108.42584897623578,-96.5376195490369
414,588,-1.2288450594092994,-111.72038850036517,-92.77751353341291
412,580,-0.5159657175290389,-110.01243441234487,-90.10155566002112
410,574,0.24301272923939088,-114.23639823734038,-87.35511881780134
438,566,-9.909584290409564,-113.42749900642377,-84.56280915677051
441,569,-11.13795525584693,-108.48570630721815,-86.28536850605641
444,572,-12.43154833635249,-102.0907033167781,-88.21847367958661
